Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Type,Book Title,Price,Binding,Pages,Product Dimensions
Cedar Books,Rajat Pillai,"His life and events have been a subject of controversy creating debates among historians for years Chandragupta Maurya came from humble beginnings plagued by poverty. However, this man's journey through life was going to be anything but ordinary. From being a farmer boy in an unknown village to being a palace attendant in the capital city of Patliputra. The narrative moves on to the untold story of what happened after Chandragupta became the king. From the battlefields of Kalinga to the wars fought in the plains east of River Indus. The book traces the life of a man whose life took sharp ups and downturns till he ventured into the path of spirituality. Spanning 36 years and events in 6 countries of today, this book seeks to tell the story which exists in bit-n-pieces in annals of history.",2011,8122312756,9788122312751,BOOKS,Chandragupta: Path Of A Fallen Demi-God ,Rs. 930.00,Paperback,296,-
Oxford University Press,Booth Martin,"Delightful insights into the legend, this biography is written with a deep sense of empathy with Jim Corbett and his life in the Indian jungles and villages.Jim Corbett (1875-1955) is legendary for his classic hair-raising tales of life in the Indian jungles. Corbett was an expert shikari, having shot his first leopard at the age of eight. From the mid-1920s he took up the camera and became a staunch champion of the conservation of India\'s wildlife. Corbett\'s deep love for India was fittingly honored when the National Park he helped establish at the foot of the Kumaon Hills was named after him.",1997,0195624866,9780195624861,BOOKS,Carpet Sahib,Rs. 745.00,Paperback,-,18.8 x 12.7 x 1.8 cm
VERMILION,NAIA EDWARDS,,-,0091923426,-,BOOKS,CARING FOR YOU BABY ,Rs. 450.00,-,72,-
Penguin Books Ltd (UK),RUCHIR SHARMA,"The argument of BREAKOUT NATIONS is that the astonishingly rapid growth over the last decade of the world's celebrated emerging markets is coming to an end. The era of easy money and easy growth is over. China, in particular, will soon slow, but its place will not necessarily be taken by Brazil, Russia or India, all of which Ruchir Sharma shows have weaknesses and difficulties often overlooked in the inflated expectations and emerging markets mania of the past decade. To identify the economic stars of the future, he says, we should abandon the habit of simply extrapolating from general global trends and look at emerging markets individually. The new 'breakout nations' will probably spring from the margins - even from the shadows. Sharma identifies which they are most likely to be, and why.",2013-05-01,0241957818,9780241957813,BOOKS,BREAKOUT NATIONS ,"Rs. 2,100.00",Paperback,336,-
VERMILION,NAIA EDWARDS,,-,-,0091923433,BOOKS,BREASTFEEDING AND BOTTLE-FEEDING ,Rs. 450.00,-,64,-
Business Standard Ltd. - New Delhi,Barua A Et. Al.,"Thought-provoking and informed, Business Standard India 2012 brings together some of the best known names from the world of finance and economics and social and political economy in its fifth annual collection of essays. Engagingly written, the fifteen original essays in this volume look beyond the established and the conventional as they explore new ideas, break some myths and cast a discerning eye on issues that have dominated the year for India.",-,9380740065,9789380740065,BOOKS,Business Standard India 2012,"Rs. 1,870.00",Hardcover,276,-
-,-,,-,9558801048,-,BOOKS,BORN BE A HINDU,"Rs. 2,000.00",-,213,-
Viking,Bhaichand Patel,"Hindi cinema has cast a seductive spell over its spectators for close to a century now. Visually arresting, dynamic in outlook and pulsating with life, Bollywood has entertained and enthralled moviegoers over the years with its melodious music, its colourful drama and its lively plotlines. At the very heart of the Bollywood mystique is the towering presence of its galaxy of stars-demigods and divas who have shaped and defined popular cinema, and popular imagination, from one generation to the next. Bollywood's Top 20 is an exciting collection of brand new essays by renowned writers that pays tribute to Hindi popular cinema's biggest stars of all time from Ashok Kumar, Dilip Kumar, Dev Anand, Raj Kapoor, Nargis and Madhubala to Rajesh Khanna, Amitabh Bachchan, Aamir Khan, Shah Rukh Khan, Kajol and Kareena Kapoor-who are indispensable to the Bollywood pantheon. Each piece offers unique insights into the lives of Bollywood's most exceptional legends their struggles and triumphs, downfalls and scandals, and the inscrutable x-factor that made them carve a niche for themselves in an industry bursting with talented professionals and desperate hopefuls.",2012,0670085723,9780670085729,BOOKS,Bollywood's Top 20: Superstars Of Indian Cinema,"Rs. 1,980.00",Hardcover,304,-
Cambridge,Mascull,"Business Vocabulary in Use is suitable for intermediate and upper intermediate level learners of business English. Primarily designed as a self-study reference and practice book, it can also be used for classroom work. The book covers a wide range of business topics including Jobs, People and Organisations, Production, Marketing, Finance and the Economy and Business Culture. Business skills covered include Meetings, Negotiating and Presentations.",-,0521547695,9780521547697,BOOKS,Business Vocabulary in use,Rs. 825.00,Paperback,172,-
Manjul Publishing House Pvt. Ltd.,"Allan, Barbara Pease",,2012,8183222471,9788183222471,BOOKS,Body Language In The Work Place,"Rs. 1,075.00",Paperback,188,-
BMJ PUBLISHING GROUP LTD,-,,-,0853699590,-,BOOKS,BNF FOR CHILDREN ,"Rs. 4,300.00",-,855,-
Harper Collins,Kushwant Singh,"The Indian short story is extraordinary in its ability to stick to the traditional rules of the craft and still demonstrate remarkable originality. It revolves around a limited number of characters, confines itself in time and space, and has a well-plotted Narrative that drives its central theme. Within the traditional framework, however, creativity flowers, and what emerges is a story that is marked with freshness and imagination. This volume is chock-full with such stories, written by authors well known in their regional languages as well as those who made names for themselves in English literary circles. Carefully selected by Khushwant Singh, India's literary giant, these pieces represent the best of Indian Writing from around the country.",2006, 8172236328,9788172236328,BOOKS,Best Indian Short Stories: Vol.1,"Rs. 1,500.00",Paperback,267,7.83 x 5.35 x 0.87 inches
HarperCollins UK Original,Khushwant Singh,"The Indian short story is extraordinary in its ability to stick to the traditional rules of the craft and still demonstrate remarkable originality. It revolves around a limited number of characters, confines itself in time and space, and has a well-plotted narrative that drives its central theme. Within the traditional framework, however, creativity flowers, and what emerges is a story that is marked with freshness and imagination. This volume is chock-full with such stories, written by authors well known in their regional languages as well as those who made names for themselves in English literary circles. Carefully selected by Khushwant Singh, India s literary giant, these pieces represent the best of Indian writing from around the country.",2004, 8172234643,9788172234645,BOOKS,Best Indian Short Stories (Volume II) ,"Rs. 1,665.00",Paperback,272,7.72 x 5.08 x 0.75 inches
Harper Collins Children,Mary-kate Olsen,"Mom and dad won't be going to the annual Save the Seals charity dance because they don't have dates. But Chloe and Riley think they should go. It's a Carlson tradition! That's why they decide to find dates for their parents. It's a tough job, but somebody's got to do it!",2003, 0007144474,9780007144471,BOOKS,Dating Game(So Little Time),Rs. 850.00,Paperback,112,19 x 12.8 x 0.6 cm
HarperCollinsChildren'sBooks,"Mary-kate Olsen, Ashley Olsen","Chloe and Riley are in a battle against their best friends to win top grade on their business class project. It starts as a friendly competition, but soon turns into a bitter and ugly rivalry. Will it ruin their friendships forever?",2004, 0007144571,9780007144570,BOOKS,Best Friends Forever (So Little Time) ,Rs. 850.00,Paperback,128,-
Harpercollins Children’s Books,Robin Jarvis,"A brilliant supernatural thriller with a modern twist, and a triumphant return from one of Britain's best-loved writers.",2011, 0007431708, 9780007431700,BOOKS,Dancing Jax,"Rs. 2,350.00",Paperback,576,-
Random House Inc,Naomi Novik,"Naomi Novik's beloved series returns, with Capt. Will Laurence and his fighting dragon Temeraire once again taking to the air against the broadsides of Napoleon's forces and the friendly--and sometimes not-so-friendly--fire of British soldiers and politicians who continue to suspect them of divided loyalties, if not outright treason. For Laurence and Temeraire, put out to pasture in Australia, it ...",15 March 2012,0345522869,9780345522863,BOOKS,Crucible of Gold,"Rs. 3,610.00",Hardback,288,-
Harper Collins,Anjana Basu,"A richly textured tale of three generations of women who live under the spell of an ancestral curse, Curses in Ivory draws you into the lives of Hansabati, Regina, Brishti who wrote poetry, Queenie Mashi and her veiled life, and Sreya, whose destiny it becomes to uncover the truth. Hansabati, who lives in purdah overshadowed by the memory of her beautiful mother-in-law, thinks she has triumphed over the curse when she bears a son, only to find it alive and well, Her daughter, Regina, lives through her marriage haunted and tormented by the macabre death of her sister-in-law. And Sreya, the third generation and narrator of the story, is blighted by her father's neglect and her mother's rage until she finally discovers the true meaning of the curse when she opens an old invory casket. What had seemed a permanent could hanging over the family, a fact of life like the weather or fate itself, suddenly has cause and a history, and in knowing these there is for Sreya a kind of liberation. Curses in Ivory may centre around a curse, but it is also a story of mothers and daughters, pujas and pearls, arranged marriages and office romances- a subtle, multi-layered tale told in a writing style as remarkable as its subject, at once wry, delicate and full of passion.",2003, 8172234503,9788172234508,BOOKS,Curses in Ivory ,"Rs. 1,650.00",Paperback,422,-
